id,mode,corpus,note
692o,photo,,not-in-archive
1053o,photo,,not-in-archive
1225o,photo,,not-in-archive
1159o,photo,,not-in-archive
1169o,photo,,not-in-archive
515o,photo,,not-in-archive
775o,photo,,not-in-archive
343o,photo,,not-in-archive
147o,photo,,not-in-archive
1086o,photo,,not-in-archive
1045o,photo,,not-in-archive
622o,photo,,not-in-archive
1235o,photo,0698.txt,neighbour
822o,photo,,not-in-archive
279o,photo,,not-in-archive
1214o,photo,,not-in-archive
1348o,photo,,not-in-archive
1255o,photo,,not-in-archive
1340o,photo,,not-in-archive
