volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
19,19m.jpg,verso,0,verso,,images/pages-verso/19m.png,images/archive-original/1260-1269/19m.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,944,1263,05,xx,vertaling midden 14e,0,0
19,19o.jpg,recto,1,recto,,images/pages-recto/19o.png,images/archive-original/1260-1269/19o.jpg,1260-1269,6,90-cw,1,2024,1436,Groot Seminarie Brugge,Ter Duinen,944,1263,05,xx,vertaling midden 14e,0,0
1,1m.jpg,verso,0,verso,,images/pages-verso/1m.png,images/archive-original/1260-1269/1m.jpg,1260-1269,,missing,0,1656,2339,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1269,11,02,kopie eind 13de eeuw,0,0
1,1o.jpg,recto,1,recto,,images/pages-recto/1o.png,images/archive-original/1260-1269/1o.jpg,1260-1269,1,native,0,2339,1656,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1269,11,02,kopie eind 13de eeuw,0,1
20,20m.jpg,verso,0,verso,,images/pages-verso/20m.png,images/archive-original/1260-1269/20m.jpg,1260-1269,1,native,0,2024,1433,RA Brugge,blauw,3168,1264,07,30,,0,0
20,20o.jpg,recto,1,recto,,images/pages-recto/20o.png,images/archive-original/1260-1269/20o.jpg,1260-1269,6,90-cw,1,1433,2024,RA Brugge,blauw,3168,1264,07,30,,0,0
21,21m.jpg,verso,0,verso,,images/pages-verso/21m.png,images/archive-original/1260-1269/21m.jpg,1260-1269,6,90-cw,1,2024,1436,Klein Begijnhof,Gent,,1266,06,19,,0,0
21,21o.jpg,recto,1,recto,,images/pages-recto/21o.png,images/archive-original/1260-1269/21o.jpg,1260-1269,6,90-cw,1,2024,1436,Klein Begijnhof,Gent,,1266,06,19,,0,0
22,22m.jpg,verso,0,verso,,images/pages-verso/22m.png,images/archive-original/1260-1269/22m.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1266,11,06,,0,0
22,22o.jpg,recto,1,recto,,images/pages-recto/22o.png,images/archive-original/1260-1269/22o.jpg,1260-1269,6,90-cw,1,2024,1436,C.O.O. Brugge,Magdalenahospitaal,,1266,11,06,,0,0
23,23m.jpg,verso,0,verso,,images/pages-verso/23m.png,images/archive-original/1260-1269/23m.jpg,1260-1269,1,native,0,1656,1165,RA Gent,Sint-Baafs,,126x,xx,xx,,0,0
23,23o.jpg,recto,1,recto,,images/pages-recto/23o.png,images/archive-original/1260-1269/23o.jpg,1260-1269,6,90-cw,1,1165,1656,RA Gent,Sint-Baafs,,126x,xx,xx,,0,0
24,24m.jpg,verso,0,verso,,images/pages-verso/24m.png,images/archive-original/1260-1269/24m.jpg,1260-1269,,missing,0,1656,1165,RA Gent,Sint-Baafs,,126x,xx,xx,,0,0
24,24o.jpg,recto,1,recto,,images/pages-recto/24o.png,images/archive-original/1260-1269/24o.jpg,1260-1269,6,90-cw,1,1165,1656,RA Gent,Sint-Baafs,,126x,xx,xx,,0,0
25,25m.jpg,verso,0,verso,,images/pages-verso/25m.png,images/archive-original/1260-1269/25m.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Michielskerk,,126x,04,xx,,0,0
25,25o.jpg,recto,1,recto,,images/pages-recto/25o.png,images/archive-original/1260-1269/25o.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Michielskerk,,126x,04,xx,,0,0
26,26m.jpg,verso,0,verso,,images/pages-verso/26m.png,images/archive-original/1260-1269/26m.jpg,1260-1269,6,90-cw,1,1654,1168,RA Gent,Sint-Michielskerk,,126x,04,xx,,0,0
