filename,inverted,p2,p98,span,mean,n_interior,applied
221o.png,0,54.0,255.0,201.0,229.47655539715416,2230620,1
222o.png,0,78.0,255.0,177.0,218.50197286875087,1161760,1
223o.png,0,59.0,255.0,196.0,234.27671031423,2095726,1
224o.png,0,55.0,255.0,200.0,223.6011802336174,1580704,1
225o.png,0,64.0,255.0,191.0,205.9803293555102,1940760,1
226o.png,0,67.0,230.0,163.0,158.40376522206304,1027456,1
227o.png,0,47.0,255.0,208.0,223.40407770817427,2125851,1
228o.png,0,79.0,255.0,176.0,222.6102858568939,2364120,1
229o.png,0,66.0,255.0,189.0,220.7067225159153,1378234,1
230o.png,0,92.0,255.0,163.0,220.18395584666956,1425940,1
231o.png,0,57.0,255.0,198.0,228.10565644767118,1902307,1
232o.png,0,66.0,255.0,189.0,229.47008390649452,1951458,1
233o.png,0,73.0,255.0,182.0,228.3256155022311,2051008,1
234o.png,0,67.0,255.0,188.0,231.65632818613673,2177496,1
235o.png,0,66.0,255.0,189.0,234.201817575535,2069240,1
236o.png,0,70.0,255.0,185.0,218.53749323098262,842072,1
237o.png,0,65.0,255.0,190.0,237.94259510869566,1890048,1
238o.png,0,69.0,255.0,186.0,232.11754505092713,1914500,1
239o.png,0,64.0,255.0,191.0,233.13820782520253,2132571,1
241o.png,0,63.0,255.0,192.0,212.54343353261703,1793925,1
242o.png,0,55.0,255.0,200.0,230.8097717131755,1801199,1
243o.png,0,55.0,255.0,200.0,221.64196265237,1656330,1
244o.png,0,52.0,255.0,203.0,223.75126399700386,1687504,1
245o.png,0,33.0,255.0,222.0,207.1862812274705,2294214,1
246o.png,0,34.0,255.0,221.0,221.42190607125278,1472925,1
247o.png,0,120.0,255.0,135.0,234.38980957900986,1414760,1
248o.png,0,56.0,255.0,199.0,225.37040273937276,1256346,1
249o.png,0,118.0,255.0,137.0,235.55944842992997,1767246,1
250o.png,0,18.0,223.0,205.0,178.12633098355153,297900,1
251o.png,0,102.0,255.0,153.0,209.85709826481673,2056728,1
252o.png,0,36.0,241.0,205.0,213.64840103685174,2758350,1
253o.png,0,36.0,255.0,219.0,217.46239402897558,2455860,1
254o.png,0,46.0,255.0,209.0,188.85343069116243,1194220,1
255o.png,0,38.0,255.0,217.0,215.12191921055188,1420334,1
256o.png,0,51.0,255.0,204.0,225.5633015938273,2451834,1
257o.png,0,52.0,255.0,203.0,205.99138890596083,2343024,1
258o.png,0,46.0,255.0,209.0,202.5657777146723,1795935,1
259o.png,0,76.0,255.0,179.0,226.77470263186558,1165979,1
260o.png,0,72.0,255.0,183.0,236.1215155915413,2338704,1
261o.png,0,63.0,255.0,192.0,232.97499968492752,1824977,1
262o.png,0,52.0,255.0,203.0,225.88520218695402,2257935,1
263o.png,0,66.0,255.0,189.0,225.80861761624487,2286015,1
264o.png,0,59.0,255.0,196.0,191.31396669709494,1712223,1
265o.png,0,54.0,255.0,201.0,226.09080221950532,2296728,1
266o.png,0,65.0,255.0,190.0,219.90366159306282,2186480,1
267o.png,0,102.0,255.0,153.0,225.09098627296777,447584,1
268o.png,0,85.0,255.0,170.0,158.7646925214665,673608,1
269o.png,0,65.0,255.0,190.0,227.08962337719052,641172,1
270o.png,0,49.0,255.0,206.0,223.42653983598933,1257845,1
271o.png,0,59.0,255.0,196.0,236.43920224746313,1651640,1
272o.png,0,73.0,255.0,182.0,207.1378144644263,1440306,1
273o.png,0,83.0,207.0,124.0,145.7619330560507,949212,1
274o.png,0,47.0,255.0,208.0,225.24533815036813,913425,1
275o.png,0,54.0,255.0,201.0,230.3312519825179,1919907,1
278o.png,0,31.0,255.0,224.0,201.55823588944168,2304232,1
279o.png,0,48.0,255.0,207.0,217.6412269292704,1033344,1
280o.png,0,58.0,255.0,197.0,234.81150560404728,1961618,1
281o.png,0,56.0,255.0,199.0,228.54767749719034,1453023,1
282o.png,0,58.0,255.0,197.0,228.1039057585635,1329012,1
283o.png,0,61.0,255.0,194.0,205.0776910790572,731268,1
284o.png,0,61.0,255.0,194.0,228.9838341176168,1555560,1
285o.png,0,66.0,255.0,189.0,210.80877333975317,1129832,1
286o.png,0,62.0,255.0,193.0,230.01529401961056,2340065,1
287o.png,0,54.0,255.0,201.0,216.8951759423619,2106940,1
288o.png,0,63.0,255.0,192.0,214.92149470873267,1009588,1
289o.png,0,56.0,255.0,199.0,210.83438237608183,747348,1
290o.png,0,58.0,255.0,197.0,228.09852215772503,2018348,1
291o.png,0,64.0,255.0,191.0,215.935568169191,1547884,1
292o.png,0,38.0,255.0,217.0,209.35990054945643,2428946,1
293o.png,0,29.0,255.0,226.0,189.51104471913982,2347004,1
294o.png,0,37.0,255.0,218.0,200.64039729148723,2359376,1
295o.png,0,35.0,255.0,220.0,207.96458913928794,2364670,1
